N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
166,명신산업,"32,700",650,-1.95%,500,"17,158","52,470",1.36,"308,481",-14.18,-67.39,
167,KG동부제철,"16,700",150,-0.89%,"5,000","16,701","100,009",1.12,"142,749",18.51,7.18,
168,KODEX 레버리지,"28,935",10,+0.03%,0,"16,609","57,400",6.79,"12,452,180",N/A,N/A,
169,대한유화,"250,500","4,500",-1.76%,"5,000","16,282","6,500",14.35,"48,268",7.14,6.93,
170,아이에스동서,"52,600",200,-0.38%,500,"16,250","30,893",4.52,"49,376",12.71,10.92,
171,DL,"76,700",800,-1.03%,"5,000","16,073","20,956",15.33,"126,003",4.11,11.84,
172,두산,"95,100","1,200",-1.25%,"5,000","15,714","16,524",11.70,"47,951",-11.45,-34.34,
173,DGB금융지주,"9,270",90,-0.96%,"5,000","15,680","169,146",49.17,"346,108",4.27,6.93,
174,에스엘,"32,400",200,-0.61%,500,"15,618","48,203",17.09,"74,226",14.15,4.74,
175,솔루엠,"30,950",750,+2.48%,500,"15,415","49,806",7.98,"726,796",30.28,43.26,
176,녹십자홀딩스,"32,350",100,+0.31%,500,"15,214","47,028",4.87,"141,117",8.59,19.74,
177,부광약품,"21,250",50,-0.23%,500,"15,101","71,063",3.56,"798,195",-159.77,-2.46,
178,종근당,"132,000",500,+0.38%,"2,500","15,082","11,426",7.68,"44,705",16.99,17.88,
179,NHN,"77,000",200,+0.26%,500,"15,065","19,565",12.94,"23,808",56.20,1.35,
180,JB금융지주,"7,610",60,-0.78%,"5,000","14,990","196,983",40.82,"264,944",3.75,10.06,
181,SK네트웍스,"5,860",40,-0.68%,"2,500","14,544","248,188",13.30,"631,687",14.05,1.63,
182,TIGER 차이나전기차SOLACTIVE,"17,880",30,+0.17%,0,"14,468","80,920",1.64,"5,493,862",N/A,N/A,
183,LG생활건강우,"686,000",0,0.00%,"5,000","14,404","2,100",84.88,"2,241",14.79,N/A,
184,롯데리츠,"5,870",30,+0.51%,500,"14,262","242,969",10.23,"226,093",34.13,1.83,
185,KODEX 단기채권PLUS,"103,160",10,+0.01%,0,"14,197","13,762",0.00,"1,093,604",N/A,N/A,
186,코스맥스,"124,000",500,+0.40%,500,"14,073","11,350",23.98,"28,623",39.01,6.23,
187,KODEX 종합채권(AA-이상)액티브,"109,815",15,-0.01%,0,"13,955","12,708",0.00,"3,783",N/A,N/A,
188,신세계인터내셔날,"194,500","2,000",-1.02%,"5,000","13,887","7,140",5.31,"7,962",19.94,8.24,
189,아시아나항공,"18,500",150,-0.80%,"5,000","13,766","74,412",19.87,"423,175",-20.51,-43.83,
190,롯데관광개발,"19,650",200,-1.01%,500,"13,613","69,276",6.38,"185,071",-10.99,-30.43,
191,롯데칠성,"143,000",500,+0.35%,500,"13,269","9,279",8.65,"18,763",192.72,-1.00,
192,두산인프라코어,"16,650",750,+4.72%,"5,000","13,038","78,309",9.70,"1,266,574",15.84,6.47,
193,KODEX 200TR,"14,285",0,0.00%,0,"12,942","90,600",0.02,"104,720",N/A,N/A,
194,LG전자우,"75,300",500,-0.66%,"5,000","12,941","17,186",41.17,"41,260",7.01,N/A,
195,TIGER TOP10,"15,060",30,+0.20%,0,"12,937","85,900",0.19,"409,977",N/A,N/A,
196,넥스트사이언스,"30,950","4,450",+16.79%,500,"12,868","41,576",5.30,"9,984,141",-34.01,-41.41,
197,코스모신소재,"42,150","1,000",+2.43%,"1,000","12,682","30,087",8.32,"631,430",76.08,7.16,
198,영풍,"688,000","3,000",-0.43%,"5,000","12,673","1,842",4.37,843,9.26,4.03,
199,세방전지,"90,100",600,+0.67%,500,"12,614","14,000",25.57,"35,997",16.35,6.14,
200,이노션,"62,800",300,+0.48%,500,"12,560","20,000",29.99,"15,533",21.38,8.28,
